Designator,Quantity,Comment,Footprint,LCSC Part #
"C1, C2, C4, C6, C8, C12, C13, C15, C16, C18, ",10,100nF,0603,C14663
"C3, ",1,1uF,0805,C28323
"C5, ",1,30pF,0603,C22397
"C7, C10, ",2,10nF,0603,C57112
"C9, ",1,30pF,0603,C22397
"C11, C14, ",2,10uF,0805,C15850
"C17, ",1,100nF,0805,C14663
"D1, ",1,Red,0805,C84256
"D2, D3, ",2,Green,0603,C72043
"FB1, ",1,Ferrit,0805,C1017
"Q1, ",1,SS8050,SOT-23-3,C2150
"Q2, Q3, ",2,AO3400A,SOT-23-3L,C20917
"R1, R2, ",2,2K2,0603,C4190
"R3, R4, R6, R12, ",4,10k,0805,C17414
"R5, ",1,100R,1206,C17901
"R7, R8, R9, ",3,10K,1206,C17902
"R10, R11, R15, ",3,1K,0603,C21190
"R13, R14, ",2,100R,0603,C22775
"U1, ",1,ATMEGA328P,TQFP-32_7.0x7.0x0.8P,C14877
"U2, ",1,MAX6675,SOIC-8_3.9x4.9x1.27P,C16030
"U3, ",1,AMS1117-3.3,SOT-223,C6186
"U4, ",1,CH340E,MSOP-10_3.0x3.0x0.5P,C99652
"Y1, ",1,8MHz,SMD-5032_2P,C115962
